,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08115132370086907,5.004278465539453,-0.2592092927741899,-0.12474156516374499,0.35914189850251976,0.462996238457106,0.5523857378517032
EUR,0.08115132370086907,0.0,5.085429789240322,-0.17805796907332083,-0.04359024146287592,0.44029322220338885,0.5441475621579751,0.6335370615525723
JPY,-5.004278465539453,-5.085429789240322,0.0,-5.2634877583136435,-5.129020030703199,-4.645136567036934,-4.541282227082347,-4.45189272768775
GBP,0.2592092927741899,0.17805796907332083,5.2634877583136435,0.0,0.13446772761044493,0.6183511912767097,0.7222055312312959,0.8115950306258931
CHF,0.12474156516374499,0.04359024146287592,5.129020030703199,-0.13446772761044493,0.0,0.4838834636662648,0.587737803620851,0.6771273030154482
CAD,-0.35914189850251976,-0.44029322220338885,4.645136567036934,-0.6183511912767097,-0.4838834636662648,0.0,0.10385433995458626,0.19324383934918343
AUD,-0.462996238457106,-0.5441475621579751,4.541282227082347,-0.7222055312312959,-0.587737803620851,-0.10385433995458626,0.0,0.08938949939459717
NZD,-0.5523857378517032,-0.6335370615525723,4.45189272768775,-0.8115950306258931,-0.6771273030154482,-0.19324383934918343,-0.08938949939459717,0.0
