,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.081626068879945,5.0027039237699755,-0.2599922226301176,-0.12571062612890632,0.35980852912834393,0.4627897122275407,0.554037624855745
EUR,0.081626068879945,0.0,5.084329992649921,-0.17836615375017262,-0.04408455724896132,0.44143459800828894,0.5444157811074857,0.6356636937356901
JPY,-5.0027039237699755,-5.084329992649921,0.0,-5.262696146400093,-5.128414549898882,-4.642895394641632,-4.539914211542435,-4.4486662989142305
GBP,0.2599922226301176,0.17836615375017262,5.262696146400093,0.0,0.1342815965012113,0.6198007517584616,0.7227819348576583,0.8140298474858627
CHF,0.12571062612890632,0.04408455724896132,5.128414549898882,-0.1342815965012113,0.0,0.48551915525725026,0.588500338356447,0.6797482509846513
CAD,-0.35980852912834393,-0.44143459800828894,4.642895394641632,-0.6198007517584616,-0.48551915525725026,0.0,0.10298118309919674,0.1942290957274011
AUD,-0.4627897122275407,-0.5444157811074857,4.539914211542435,-0.7227819348576583,-0.588500338356447,-0.10298118309919674,0.0,0.09124791262820436
NZD,-0.554037624855745,-0.6356636937356901,4.4486662989142305,-0.8140298474858627,-0.6797482509846513,-0.1942290957274011,-0.09124791262820436,0.0
