,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08163067695190492,5.000574857181638,-0.2597955836143754,-0.12485485714562615,0.36279070449264506,0.4640454147116143,0.5556660982391445
EUR,0.08163067695190492,0.0,5.082205534133543,-0.17816490666247048,-0.043224180193721234,0.44442138144454996,0.5456760916635193,0.6372967751910494
JPY,-5.000574857181638,-5.082205534133543,0.0,-5.260370440796013,-5.1254297143272645,-4.637784152688993,-4.536529442470024,-4.444908758942494
GBP,0.2597955836143754,0.17816490666247048,5.260370440796013,0.0,0.13494072646874922,0.6225862881070204,0.7238409983259897,0.8154616818535199
CHF,0.12485485714562615,0.043224180193721234,5.1254297143272645,-0.13494072646874922,0.0,0.4876455616382712,0.5889002718572405,0.6805209553847706
CAD,-0.36279070449264506,-0.44442138144454996,4.637784152688993,-0.6225862881070204,-0.4876455616382712,0.0,0.10125471021896926,0.19287539374649942
AUD,-0.4640454147116143,-0.5456760916635193,4.536529442470024,-0.7238409983259897,-0.5889002718572405,-0.10125471021896926,0.0,0.09162068352753017
NZD,-0.5556660982391445,-0.6372967751910494,4.444908758942494,-0.8154616818535199,-0.6805209553847706,-0.19287539374649942,-0.09162068352753017,0.0
