,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08053335651647343,5.000874478617248,-0.25783865471108763,-0.12609624482484952,0.36370864933437835,0.46406131979010634,0.5552652651981647
EUR,0.08053335651647343,0.0,5.081407835133721,-0.1773052981946142,-0.045562888308376084,0.4442420058508518,0.5445946763065798,0.6357986217146381
JPY,-5.000874478617248,-5.081407835133721,0.0,-5.258713133328335,-5.126970723442097,-4.6371658292828695,-4.536813158827141,-4.4456092134190826
GBP,0.25783865471108763,0.1773052981946142,5.258713133328335,0.0,0.13174240988623812,0.621547304045466,0.721899974501194,0.8131039199092522
CHF,0.12609624482484952,0.045562888308376084,5.126970723442097,-0.13174240988623812,0.0,0.4898048941592279,0.5901575646149558,0.6813615100230141
CAD,-0.36370864933437835,-0.4442420058508518,4.6371658292828695,-0.621547304045466,-0.4898048941592279,0.0,0.10035267045572799,0.1915566158637863
AUD,-0.46406131979010634,-0.5445946763065798,4.536813158827141,-0.721899974501194,-0.5901575646149558,-0.10035267045572799,0.0,0.09120394540805832
NZD,-0.5552652651981647,-0.6357986217146381,4.4456092134190826,-0.8131039199092522,-0.6813615100230141,-0.1915566158637863,-0.09120394540805832,0.0
