,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08129884148394441,5.002199815275154,-0.2591745674036378,-0.12622103565855758,0.35910698413001485,0.46209101669538133,0.5527941085884923
EUR,0.08129884148394441,0.0,5.083498656759098,-0.17787572591969342,-0.04492219417461317,0.44040582561395925,0.5433898581793257,0.6340929500724367
JPY,-5.002199815275154,-5.083498656759098,0.0,-5.261374382678792,-5.128420850933711,-4.64309283114514,-4.540108798579773,-4.449405706686662
GBP,0.2591745674036378,0.17787572591969342,5.261374382678792,0.0,0.13295353174508023,0.6182815515336526,0.7212655840990192,0.8119686759921301
CHF,0.12622103565855758,0.04492219417461317,5.128420850933711,-0.13295353174508023,0.0,0.48532801978857243,0.5883120523539389,0.6790151442470499
CAD,-0.35910698413001485,-0.44040582561395925,4.64309283114514,-0.6182815515336526,-0.48532801978857243,0.0,0.10298403256536648,0.19368712445847747
AUD,-0.46209101669538133,-0.5433898581793257,4.540108798579773,-0.7212655840990192,-0.5883120523539389,-0.10298403256536648,0.0,0.09070309189311099
NZD,-0.5527941085884923,-0.6340929500724367,4.449405706686662,-0.8119686759921301,-0.6790151442470499,-0.19368712445847747,-0.09070309189311099,0.0
