,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08071786431937053,5.004177822767533,-0.2588233875708718,-0.12452068270912611,0.35947701446974273,0.4635683799505864,0.5529679339639583
EUR,0.08071786431937053,0.0,5.084895687086903,-0.17810552325150128,-0.04380281838975558,0.44019487878911323,0.544286244269957,0.6336857982833288
JPY,-5.004177822767533,-5.084895687086903,0.0,-5.2630012103384045,-5.128698505476659,-4.64470080829779,-4.540609442816947,-4.451209888803574
GBP,0.2588233875708718,0.17810552325150128,5.2630012103384045,0.0,0.1343027048617457,0.6183004020406145,0.7223917675214582,0.81179132153483
CHF,0.12452068270912611,0.04380281838975558,5.128698505476659,-0.1343027048617457,0.0,0.48399769717886887,0.5880890626597125,0.6774886166730844
CAD,-0.35947701446974273,-0.44019487878911323,4.64470080829779,-0.6183004020406145,-0.48399769717886887,0.0,0.10409136548084369,0.19349091949421554
AUD,-0.4635683799505864,-0.544286244269957,4.540609442816947,-0.7223917675214582,-0.5880890626597125,-0.10409136548084369,0.0,0.08939955401337185
NZD,-0.5529679339639583,-0.6336857982833288,4.451209888803574,-0.81179132153483,-0.6774886166730844,-0.19349091949421554,-0.08939955401337185,0.0
