,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08169057995513664,5.00197120234946,-0.25876548894363205,-0.12548386104522194,0.3629541881559476,0.4631869159188132,0.5540811324369478
EUR,0.08169057995513664,0.0,5.083661782304596,-0.17707490898849543,-0.043793281090085304,0.4446447681110842,0.5448774958739498,0.6357717123920844
JPY,-5.00197120234946,-5.083661782304596,0.0,-5.260736691293092,-5.127455063394682,-4.639017014193512,-4.538784286430647,-4.447890069912512
GBP,0.25876548894363205,0.17707490898849543,5.260736691293092,0.0,0.1332816278984101,0.6217196770995796,0.7219524048624453,0.8128466213805798
CHF,0.12548386104522194,0.043793281090085304,5.127455063394682,-0.1332816278984101,0.0,0.4884380492011695,0.5886707769640351,0.6795649934821697
CAD,-0.3629541881559476,-0.4446447681110842,4.639017014193512,-0.6217196770995796,-0.4884380492011695,0.0,0.10023272776286563,0.1911269442810002
AUD,-0.4631869159188132,-0.5448774958739498,4.538784286430647,-0.7219524048624453,-0.5886707769640351,-0.10023272776286563,0.0,0.09089421651813456
NZD,-0.5540811324369478,-0.6357717123920844,4.447890069912512,-0.8128466213805798,-0.6795649934821697,-0.1911269442810002,-0.09089421651813456,0.0
