,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.07883428551780872,5.007838052126921,-0.2566518256665013,-0.12333215357193861,0.3607222425649108,0.46449880861129067,0.5538375143592816
EUR,0.07883428551780872,0.0,5.08667233764473,-0.17781754014869258,-0.04449786805412989,0.4395565280827195,0.5433330941290994,0.6326717998770903
JPY,-5.007838052126921,-5.08667233764473,0.0,-5.264489877793422,-5.13117020569886,-4.64711580956201,-4.54333924351563,-4.454000537767639
GBP,0.2566518256665013,0.17781754014869258,5.264489877793422,0.0,0.1333196720945627,0.6173740682314122,0.721150634277792,0.8104893400257829
CHF,0.12333215357193861,0.04449786805412989,5.13117020569886,-0.1333196720945627,0.0,0.4840543961368494,0.5878309621832293,0.6771696679312202
CAD,-0.3607222425649108,-0.4395565280827195,4.64711580956201,-0.6173740682314122,-0.4840543961368494,0.0,0.10377656604637986,0.19311527179437082
AUD,-0.46449880861129067,-0.5433330941290994,4.54333924351563,-0.721150634277792,-0.5878309621832293,-0.10377656604637986,0.0,0.08933870574799097
NZD,-0.5538375143592816,-0.6326717998770903,4.454000537767639,-0.8104893400257829,-0.6771696679312202,-0.19311527179437082,-0.08933870574799097,0.0
