,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08234467150520805,5.002559438649172,-0.2599151138990575,-0.1257333054657634,0.35910349262571767,0.4612817754338662,0.5515608164980746
EUR,0.08234467150520805,0.0,5.08490411015438,-0.17757044239384948,-0.04338863396055534,0.4414481641309257,0.5436264469390742,0.6339054880032827
JPY,-5.002559438649172,-5.08490411015438,0.0,-5.2624745525482295,-5.128292744114935,-4.643455946023455,-4.541277663215306,-4.450998622151097
GBP,0.2599151138990575,0.17757044239384948,5.2624745525482295,0.0,0.13418180843329414,0.6190186065247751,0.7211968893329237,0.8114759303971322
CHF,0.1257333054657634,0.04338863396055534,5.128292744114935,-0.13418180843329414,0.0,0.48483679809148106,0.5870150808996296,0.677294121963838
CAD,-0.35910349262571767,-0.4414481641309257,4.643455946023455,-0.6190186065247751,-0.48483679809148106,0.0,0.10217828280814856,0.19245732387235698
AUD,-0.4612817754338662,-0.5436264469390742,4.541277663215306,-0.7211968893329237,-0.5870150808996296,-0.10217828280814856,0.0,0.09027904106420842
NZD,-0.5515608164980746,-0.6339054880032827,4.450998622151097,-0.8114759303971322,-0.677294121963838,-0.19245732387235698,-0.09027904106420842,0.0
