,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08190251561963428,5.003469682311344,-0.2595603371347568,-0.1252741491149619,0.35903016821930694,0.46133729067479673,0.5508059586921847
EUR,0.08190251561963428,0.0,5.085372197930979,-0.1776578215151225,-0.04337163349532762,0.44093268383894124,0.543239806294431,0.632708474311819
JPY,-5.003469682311344,-5.085372197930979,0.0,-5.263030019446101,-5.1287438314263065,-4.644439514092038,-4.542132391636548,-4.4526637236191595
GBP,0.2595603371347568,0.1776578215151225,5.263030019446101,0.0,0.1342861880197949,0.6185905053540637,0.7208976278095536,0.8103662958269415
CHF,0.1252741491149619,0.04337163349532762,5.1287438314263065,-0.1342861880197949,0.0,0.4843043173342688,0.5866114397897586,0.6760801078071467
CAD,-0.35903016821930694,-0.44093268383894124,4.644439514092038,-0.6185905053540637,-0.4843043173342688,0.0,0.10230712245548979,0.1917757904728778
AUD,-0.46133729067479673,-0.543239806294431,4.542132391636548,-0.7208976278095536,-0.5866114397897586,-0.10230712245548979,0.0,0.08946866801738801
NZD,-0.5508059586921847,-0.632708474311819,4.4526637236191595,-0.8103662958269415,-0.6760801078071467,-0.1917757904728778,-0.08946866801738801,0.0
