,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.07921313290228688,5.0031943454416625,-0.25939447438772817,-0.1234170016797351,0.3616664655413533,0.4637114664863876,0.5550126486556642
EUR,0.07921313290228688,0.0,5.082407478343949,-0.1801813414854413,-0.044203868777448224,0.44087959844364016,0.5429245993886744,0.6342257815579511
JPY,-5.0031943454416625,-5.082407478343949,0.0,-5.262588819829391,-5.126611347121398,-4.641527879900309,-4.539482878955275,-4.448181696785999
GBP,0.25939447438772817,0.1801813414854413,5.262588819829391,0.0,0.13597747270799307,0.6210609399290814,0.7231059408741158,0.8144071230433925
CHF,0.1234170016797351,0.044203868777448224,5.126611347121398,-0.13597747270799307,0.0,0.4850834672210884,0.5871284681661227,0.6784296503353994
CAD,-0.3616664655413533,-0.44087959844364016,4.641527879900309,-0.6210609399290814,-0.4850834672210884,0.0,0.10204500094503433,0.19334618311431095
AUD,-0.4637114664863876,-0.5429245993886744,4.539482878955275,-0.7231059408741158,-0.5871284681661227,-0.10204500094503433,0.0,0.09130118216927663
NZD,-0.5550126486556642,-0.6342257815579511,4.448181696785999,-0.8144071230433925,-0.6784296503353994,-0.19334618311431095,-0.09130118216927663,0.0
