,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.07996578163788183,5.006416407094634,-0.25789274364102865,-0.123886624716869,0.3597980619247097,0.46342531388561303,0.5533504561809918
EUR,0.07996578163788183,0.0,5.086382188732516,-0.17792696200314684,-0.043920843078987165,0.4397638435625915,0.5433910955234948,0.6333162378188736
JPY,-5.006416407094634,-5.086382188732516,0.0,-5.264309150735663,-5.130303031811503,-4.646618345169925,-4.542991093209022,-4.4530659509136425
GBP,0.25789274364102865,0.17792696200314684,5.264309150735663,0.0,0.13400611892415965,0.6176908055657384,0.7213180575266417,0.8112431998220204
CHF,0.123886624716869,0.043920843078987165,5.130303031811503,-0.13400611892415965,0.0,0.4836846866415787,0.587311938602482,0.6772370808978607
CAD,-0.3597980619247097,-0.4397638435625915,4.646618345169925,-0.6176908055657384,-0.4836846866415787,0.0,0.10362725196090333,0.19355239425628207
AUD,-0.46342531388561303,-0.5433910955234948,4.542991093209022,-0.7213180575266417,-0.587311938602482,-0.10362725196090333,0.0,0.08992514229537873
NZD,-0.5533504561809918,-0.6333162378188736,4.4530659509136425,-0.8112431998220204,-0.6772370808978607,-0.19355239425628207,-0.08992514229537873,0.0
