,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.0815108601792568,5.002626643627742,-0.2594523366100779,-0.12561991392465086,0.3595886948406376,0.46173391776328,0.5520904246438453
EUR,0.0815108601792568,0.0,5.084137503806998,-0.1779414764308211,-0.04410905374539406,0.4410995550198944,0.5432447779425368,0.6336012848231021
JPY,-5.002626643627742,-5.084137503806998,0.0,-5.26207898023782,-5.128246557552393,-4.643037948787104,-4.540892725864461,-4.450536218983896
GBP,0.2594523366100779,0.1779414764308211,5.26207898023782,0.0,0.13383242268542703,0.6190410314507155,0.7211862543733578,0.8115427612539232
CHF,0.12561991392465086,0.04410905374539406,5.128246557552393,-0.13383242268542703,0.0,0.4852086087652885,0.5873538316879309,0.6777103385684962
CAD,-0.3595886948406376,-0.4410995550198944,4.643037948787104,-0.6190410314507155,-0.4852086087652885,0.0,0.10214522292264239,0.19250172980320768
AUD,-0.46173391776328,-0.5432447779425368,4.540892725864461,-0.7211862543733578,-0.5873538316879309,-0.10214522292264239,0.0,0.09035650688056529
NZD,-0.5520904246438453,-0.6336012848231021,4.450536218983896,-0.8115427612539232,-0.6777103385684962,-0.19250172980320768,-0.09035650688056529,0.0
