,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08108677782717214,5.002401489169152,-0.2595371951470905,-0.12551220386867928,0.3596201026978392,0.46284531124742356,0.5535591663528918
EUR,0.08108677782717214,0.0,5.083488266996325,-0.17845041731991837,-0.04442542604150715,0.4407068805250113,0.5439320890745957,0.6346459441800639
JPY,-5.002401489169152,-5.083488266996325,0.0,-5.261938684316243,-5.127913693037831,-4.642781386471313,-4.539556177921728,-4.44884232281626
GBP,0.2595371951470905,0.17845041731991837,5.261938684316243,0.0,0.13402499127841122,0.6191572978449297,0.7223825063945141,0.8130963614999823
CHF,0.12551220386867928,0.04442542604150715,5.127913693037831,-0.13402499127841122,0.0,0.48513230656651846,0.5883575151161029,0.6790713702215712
CAD,-0.3596201026978392,-0.4407068805250113,4.642781386471313,-0.6191572978449297,-0.48513230656651846,0.0,0.10322520854958439,0.19393906365505265
AUD,-0.46284531124742356,-0.5439320890745957,4.539556177921728,-0.7223825063945141,-0.5883575151161029,-0.10322520854958439,0.0,0.09071385510546826
NZD,-0.5535591663528918,-0.6346459441800639,4.44884232281626,-0.8130963614999823,-0.6790713702215712,-0.19393906365505265,-0.09071385510546826,0.0
