,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08144172858724362,5.002482147339869,-0.25972617237589674,-0.12580134656261208,0.35994110422535275,0.46301212685698545,0.5542551816933267
EUR,0.08144172858724362,0.0,5.083923875927113,-0.1782844437886531,-0.04435961797536846,0.4413828328125964,0.5444538554442291,0.6356969102805703
JPY,-5.002482147339869,-5.083923875927113,0.0,-5.262208319715765,-5.128283493902481,-4.642541043114516,-4.5394700204828835,-4.448226965646542
GBP,0.25972617237589674,0.1782844437886531,5.262208319715765,0.0,0.13392482581328466,0.6196672766012494,0.7227382992328821,0.8139813540692233
CHF,0.12580134656261208,0.04435961797536846,5.128283493902481,-0.13392482581328466,0.0,0.48574245078796485,0.5888134734195976,0.6800565282559388
CAD,-0.35994110422535275,-0.4413828328125964,4.642541043114516,-0.6196672766012494,-0.48574245078796485,0.0,0.1030710226316327,0.1943140774679739
AUD,-0.46301212685698545,-0.5444538554442291,4.5394700204828835,-0.7227382992328821,-0.5888134734195976,-0.1030710226316327,0.0,0.09124305483634121
NZD,-0.5542551816933267,-0.6356969102805703,4.448226965646542,-0.8139813540692233,-0.6800565282559388,-0.1943140774679739,-0.09124305483634121,0.0
