,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08101761691043988,5.000376182241808,-0.25928645594733224,-0.12587506297560488,0.3634062378612938,0.4637750670747144,0.5553436764127511
EUR,0.08101761691043988,0.0,5.081393799152248,-0.17826883903689236,-0.04485744606516501,0.44442385477173363,0.5447926839851542,0.6363612933231909
JPY,-5.000376182241808,-5.081393799152248,0.0,-5.259662638189139,-5.1262512452174125,-4.636969944380514,-4.536601115167093,-4.445032505829056
GBP,0.25928645594733224,0.17826883903689236,5.259662638189139,0.0,0.13341139297172736,0.622692693808626,0.7230615230220466,0.8146301323600833
CHF,0.12587506297560488,0.04485744606516501,5.1262512452174125,-0.13341139297172736,0.0,0.4892813008368987,0.5896501300503193,0.681218739388356
CAD,-0.3634062378612938,-0.44442385477173363,4.636969944380514,-0.622692693808626,-0.4892813008368987,0.0,0.10036882921342061,0.19193743855145728
AUD,-0.4637750670747144,-0.5447926839851542,4.536601115167093,-0.7230615230220466,-0.5896501300503193,-0.10036882921342061,0.0,0.09156860933803668
NZD,-0.5553436764127511,-0.6363612933231909,4.445032505829056,-0.8146301323600833,-0.681218739388356,-0.19193743855145728,-0.09156860933803668,0.0
