,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08193476276173407,5.004975976994513,-0.2596220464837429,-0.12522314475407806,0.35929201641518527,0.4619719695486025,0.5516042164503414
EUR,0.08193476276173407,0.0,5.086910739756247,-0.17768728372200882,-0.043288381992343986,0.4412267791769193,0.5439067323103366,0.6335389792120755
JPY,-5.004975976994513,-5.086910739756247,0.0,-5.264598023478255,-5.130199121748591,-4.645683960579327,-4.54300400744591,-4.453371760544171
GBP,0.2596220464837429,0.17768728372200882,5.264598023478255,0.0,0.13439890172966482,0.6189140628989281,0.7215940160323453,0.8112262629340843
CHF,0.12522314475407806,0.043288381992343986,5.130199121748591,-0.13439890172966482,0.0,0.4845151611692633,0.5871951143026806,0.6768273612044194
CAD,-0.35929201641518527,-0.4412267791769193,4.645683960579327,-0.6189140628989281,-0.4845151611692633,0.0,0.10267995313341721,0.19231220003515614
AUD,-0.4619719695486025,-0.5439067323103366,4.54300400744591,-0.7215940160323453,-0.5871951143026806,-0.10267995313341721,0.0,0.08963224690173893
NZD,-0.5516042164503414,-0.6335389792120755,4.453371760544171,-0.8112262629340843,-0.6768273612044194,-0.19231220003515614,-0.08963224690173893,0.0
