,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08079626982808982,5.001382619824131,-0.25909353684928654,-0.12450369377175531,0.36332279791019684,0.4635604312988764,0.5551345935019036
EUR,0.08079626982808982,0.0,5.082178889652221,-0.17829726702119672,-0.04370742394366549,0.4441190677382867,0.5443567011269662,0.6359308633299935
JPY,-5.001382619824131,-5.082178889652221,0.0,-5.260476156673418,-5.1258863135958865,-4.638059821913934,-4.537822188525254,-4.446248026322228
GBP,0.25909353684928654,0.17829726702119672,5.260476156673418,0.0,0.13458984307753125,0.6224163347594833,0.722653968148163,0.8142281303511902
CHF,0.12450369377175531,0.04370742394366549,5.1258863135958865,-0.13458984307753125,0.0,0.48782649168195213,0.5880641250706318,0.6796382872736589
CAD,-0.36332279791019684,-0.4441190677382867,4.638059821913934,-0.6224163347594833,-0.48782649168195213,0.0,0.10023763338867958,0.1918117955917068
AUD,-0.4635604312988764,-0.5443567011269662,4.537822188525254,-0.722653968148163,-0.5880641250706318,-0.10023763338867958,0.0,0.09157416220302722
NZD,-0.5551345935019036,-0.6359308633299935,4.446248026322228,-0.8142281303511902,-0.6796382872736589,-0.1918117955917068,-0.09157416220302722,0.0
