,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08227099243279425,5.002253598957198,-0.25972617237589685,-0.12624372657425048,0.3594630535463671,0.4616545797595415,0.5517951986201322
EUR,0.08227099243279425,0.0,5.084524591389992,-0.17745517994310261,-0.043972734141456235,0.4417340459791613,0.5439255721923357,0.6340661910529264
JPY,-5.002253598957198,-5.084524591389992,0.0,-5.261979771333095,-5.128497325531448,-4.642790545410831,-4.540599019197657,-4.450458400337066
GBP,0.25972617237589685,0.17745517994310261,5.261979771333095,0.0,0.13348244580164637,0.619189225922264,0.7213807521354383,0.811521370996029
CHF,0.12624372657425048,0.043972734141456235,5.128497325531448,-0.13348244580164637,0.0,0.4857067801206176,0.5878983063337919,0.6780389251943826
CAD,-0.3594630535463671,-0.4417340459791613,4.642790545410831,-0.619189225922264,-0.4857067801206176,0.0,0.1021915262131744,0.19233214507376506
AUD,-0.4616545797595415,-0.5439255721923357,4.540599019197657,-0.7213807521354383,-0.5878983063337919,-0.1021915262131744,0.0,0.09014061886059066
NZD,-0.5517951986201322,-0.6340661910529264,4.450458400337066,-0.811521370996029,-0.6780389251943826,-0.19233214507376506,-0.09014061886059066,0.0
