,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08093922875531114,5.001153819979255,-0.2585261390476875,-0.12524581303774995,0.3633471352817967,0.4639181831898334,0.55543952069201
EUR,0.08093922875531114,0.0,5.082093048734566,-0.1775869102923764,-0.04430658428243882,0.4442863640371078,0.5448574119451446,0.6363787494473211
JPY,-5.001153819979255,-5.082093048734566,0.0,-5.2596799590269425,-5.126399633017004,-4.637806684697458,-4.537235636789421,-4.4457142992872445
GBP,0.2585261390476875,0.1775869102923764,5.2596799590269425,0.0,0.13328032600993756,0.6218732743294841,0.722444322237521,0.8139656597396975
CHF,0.12524581303774995,0.04430658428243882,5.126399633017004,-0.13328032600993756,0.0,0.48859294831954664,0.5891639962275834,0.6806853337297599
CAD,-0.3633471352817967,-0.4442863640371078,4.637806684697458,-0.6218732743294841,-0.48859294831954664,0.0,0.10057104790803673,0.19209238541021328
AUD,-0.4639181831898334,-0.5448574119451446,4.537235636789421,-0.722444322237521,-0.5891639962275834,-0.10057104790803673,0.0,0.09152133750217656
NZD,-0.55543952069201,-0.6363787494473211,4.4457142992872445,-0.8139656597396975,-0.6806853337297599,-0.19209238541021328,-0.09152133750217656,0.0
