,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08180576795359623,5.003832205476517,-0.2596490431265191,-0.12510981104284424,0.35884159505410634,0.46209101669538133,0.5517344276096217
EUR,0.08180576795359623,0.0,5.085637973430113,-0.17784327517292287,-0.04330404308924801,0.4406473630077026,0.5438967846489775,0.6335401955632178
JPY,-5.003832205476517,-5.085637973430113,0.0,-5.263481248603036,-5.128942016519361,-4.64499061042241,-4.541741188781136,-4.452097777866895
GBP,0.2596490431265191,0.17784327517292287,5.263481248603036,0.0,0.13453923208367485,0.6184906381806254,0.7217400598219004,0.8113834707361407
CHF,0.12510981104284424,0.04330404308924801,5.128942016519361,-0.13453923208367485,0.0,0.4839514060969506,0.5872008277382256,0.6768442386524659
CAD,-0.35884159505410634,-0.4406473630077026,4.64499061042241,-0.6184906381806254,-0.4839514060969506,0.0,0.10324942164127499,0.19289283255551531
AUD,-0.46209101669538133,-0.5438967846489775,4.541741188781136,-0.7217400598219004,-0.5872008277382256,-0.10324942164127499,0.0,0.08964341091424033
NZD,-0.5517344276096217,-0.6335401955632178,4.452097777866895,-0.8113834707361407,-0.6768442386524659,-0.19289283255551531,-0.08964341091424033,0.0
