,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.0814555552879858,5.004499843990172,-0.25927102378902867,-0.12522314475407792,0.3596933838619956,0.46263881618271613,0.5521077935951084
EUR,0.0814555552879858,0.0,5.085955399278157,-0.17781546850104285,-0.04376758946609212,0.44114893914998143,0.5440943714707019,0.6335633488830942
JPY,-5.004499843990172,-5.085955399278157,0.0,-5.263770867779201,-5.12972298874425,-4.644806460128176,-4.541861027807456,-4.452392050395064
GBP,0.25927102378902867,0.17781546850104285,5.263770867779201,0.0,0.13404787903495075,0.6189644076510243,0.7219098399717447,0.8113788173841371
CHF,0.12522314475407792,0.04376758946609212,5.12972298874425,-0.13404787903495075,0.0,0.48491652861607354,0.5878619609367941,0.6773309383491863
CAD,-0.3596933838619956,-0.44114893914998143,4.644806460128176,-0.6189644076510243,-0.48491652861607354,0.0,0.10294543232072051,0.1924144097331128
AUD,-0.46263881618271613,-0.5440943714707019,4.541861027807456,-0.7219098399717447,-0.5878619609367941,-0.10294543232072051,0.0,0.08946897741239229
NZD,-0.5521077935951084,-0.6335633488830942,4.452392050395064,-0.8113788173841371,-0.6773309383491863,-0.1924144097331128,-0.08946897741239229,0.0
