,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.07971650062764908,5.006911703462658,-0.2577227400087234,-0.12371119753709019,0.3598713300494448,0.4636558192896008,0.5534895914554867
EUR,0.07971650062764908,0.0,5.086628204090307,-0.17800623938107435,-0.043994696909441106,0.4395878306770939,0.5433723199172499,0.6332060920831358
JPY,-5.006911703462658,-5.086628204090307,0.0,-5.264634443471381,-5.1306229009997475,-4.647040373413213,-4.543255884173057,-4.453422112007171
GBP,0.2577227400087234,0.17800623938107435,5.264634443471381,0.0,0.13401154247163322,0.6175940700581682,0.7213785592983242,0.8112123314642101
CHF,0.12371119753709019,0.043994696909441106,5.1306229009997475,-0.13401154247163322,0.0,0.483582527586535,0.587367016826691,0.6772007889925769
CAD,-0.3598713300494448,-0.4395878306770939,4.647040373413213,-0.6175940700581682,-0.483582527586535,0.0,0.10378448924015599,0.19361826140604188
AUD,-0.4636558192896008,-0.5433723199172499,4.543255884173057,-0.7213785592983242,-0.587367016826691,-0.10378448924015599,0.0,0.0898337721658859
NZD,-0.5534895914554867,-0.6332060920831358,4.453422112007171,-0.8112123314642101,-0.6772007889925769,-0.19361826140604188,-0.0898337721658859,0.0
