,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08194397603991069,5.00238132360991,-0.2595603371347568,-0.12584670986597563,0.3592885255568704,0.4618926126568114,0.5523423039689244
EUR,0.08194397603991069,0.0,5.084325299649821,-0.1776163610948461,-0.04390273382606494,0.44123250159678107,0.5438365886967221,0.634286280008835
JPY,-5.00238132360991,-5.084325299649821,0.0,-5.261941660744667,-5.128228033475886,-4.64309279805304,-4.540488710953099,-4.450039019640986
GBP,0.2595603371347568,0.1776163610948461,5.261941660744667,0.0,0.13371362726878117,0.6188488626916272,0.7214529497915683,0.8119026411036812
CHF,0.12584670986597563,0.04390273382606494,5.128228033475886,-0.13371362726878117,0.0,0.48513523542284603,0.587739322522787,0.6781890138349
CAD,-0.3592885255568704,-0.44123250159678107,4.64309279805304,-0.6188488626916272,-0.48513523542284603,0.0,0.10260408709994101,0.19305377841205396
AUD,-0.4618926126568114,-0.5438365886967221,4.540488710953099,-0.7214529497915683,-0.587739322522787,-0.10260408709994101,0.0,0.09044969131211295
NZD,-0.5523423039689244,-0.634286280008835,4.450039019640986,-0.8119026411036812,-0.6781890138349,-0.19305377841205396,-0.09044969131211295,0.0
