,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.0819946475526274,5.002502310866067,-0.260138712840593,-0.12551787252976992,0.35942815038518416,0.4618450015443688,0.5523249309440198
EUR,0.0819946475526274,0.0,5.084496958418694,-0.17814406528796556,-0.04352322497714252,0.4414227979378116,0.5438396490969962,0.6343195784966472
JPY,-5.002502310866067,-5.084496958418694,0.0,-5.26264102370666,-5.1280201833958365,-4.643074160480882,-4.540657309321698,-4.450177379922047
GBP,0.260138712840593,0.17814406528796556,5.26264102370666,0.0,0.13462084031082305,0.6195668632257771,0.7219837143849618,0.8124636437846128
CHF,0.12551787252976992,0.04352322497714252,5.1280201833958365,-0.13462084031082305,0.0,0.4849460229149541,0.5873628740741388,0.6778428034737898
CAD,-0.35942815038518416,-0.4414227979378116,4.643074160480882,-0.6195668632257771,-0.4849460229149541,0.0,0.10241685115918464,0.19289678055883563
AUD,-0.4618450015443688,-0.5438396490969962,4.540657309321698,-0.7219837143849618,-0.5873628740741388,-0.10241685115918464,0.0,0.090479929399651
NZD,-0.5523249309440198,-0.6343195784966472,4.450177379922047,-0.8124636437846128,-0.6778428034737898,-0.19289678055883563,-0.090479929399651,0.0
