,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08070863973770542,5.002344352361773,-0.2583369348823147,-0.12501348748627755,0.36242885837767275,0.46197990558415586,0.5537244261372994
EUR,0.08070863973770542,0.0,5.0830529920994785,-0.17762829514460926,-0.04430484774857213,0.44313749811537817,0.5426885453218613,0.6344330658750048
JPY,-5.002344352361773,-5.0830529920994785,0.0,-5.260681287244088,-5.127357839848051,-4.639915493984101,-4.540364446777618,-4.448619926224474
GBP,0.2583369348823147,0.17762829514460926,5.260681287244088,0.0,0.13332344739603713,0.6207657932599875,0.7203168404664706,0.8120613610196141
CHF,0.12501348748627755,0.04430484774857213,5.127357839848051,-0.13332344739603713,0.0,0.4874423458639503,0.5869933930704334,0.6787379136235769
CAD,-0.36242885837767275,-0.44313749811537817,4.639915493984101,-0.6207657932599875,-0.4874423458639503,0.0,0.09955104720648311,0.1912955677596267
AUD,-0.46197990558415586,-0.5426885453218613,4.540364446777618,-0.7203168404664706,-0.5869933930704334,-0.09955104720648311,0.0,0.09174452055314358
NZD,-0.5537244261372994,-0.6344330658750048,4.448619926224474,-0.8120613610196141,-0.6787379136235769,-0.1912955677596267,-0.09174452055314358,0.0
