,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08144172858724362,5.003174195864635,-0.26014642225726003,-0.1254951980782071,0.3597073415701403,0.46253558463824085,0.5538897132370176
EUR,0.08144172858724362,0.0,5.084615924451879,-0.1787046936700164,-0.04405346949096349,0.4411490701573839,0.5439773132254845,0.6353314418242613
JPY,-5.003174195864635,-5.084615924451879,0.0,-5.263320618121895,-5.128669393942842,-4.643466854294495,-4.540638611226394,-4.449284482627617
GBP,0.26014642225726003,0.1787046936700164,5.263320618121895,0.0,0.13465122417905293,0.6198537638274003,0.7226820068955009,0.8140361354942777
CHF,0.1254951980782071,0.04405346949096349,5.128669393942842,-0.13465122417905293,0.0,0.48520253964834736,0.5880307827164479,0.6793849113152247
CAD,-0.3597073415701403,-0.4411490701573839,4.643466854294495,-0.6198537638274003,-0.48520253964834736,0.0,0.10282824306810057,0.19418237166687735
AUD,-0.46253558463824085,-0.5439773132254845,4.540638611226394,-0.7226820068955009,-0.5880307827164479,-0.10282824306810057,0.0,0.09135412859877678
NZD,-0.5538897132370176,-0.6353314418242613,4.449284482627617,-0.8140361354942777,-0.6793849113152247,-0.19418237166687735,-0.09135412859877678,0.0
