,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08172283393217,5.004563565066275,-0.2595989059241259,-0.12500215591311506,0.35885905702629683,0.4622577065137975,0.5518993860882103
EUR,0.08172283393217,0.0,5.086286398998444,-0.17787607199195588,-0.04327932198094506,0.44058189095846684,0.5439805404459674,0.6336222200203803
JPY,-5.004563565066275,-5.086286398998444,0.0,-5.2641624709904,-5.1295657209793895,-4.645704508039978,-4.542305858552477,-4.452664178978065
GBP,0.2595989059241259,0.17787607199195588,5.2641624709904,0.0,0.13459675001101082,0.6184579629504228,0.7218566124379233,0.8114982920123361
CHF,0.12500215591311506,0.04327932198094506,5.1295657209793895,-0.13459675001101082,0.0,0.48386121293941187,0.5872598624269125,0.6769015420013254
CAD,-0.35885905702629683,-0.44058189095846684,4.645704508039978,-0.6184579629504228,-0.48386121293941187,0.0,0.10339864948750066,0.19304032906191348
AUD,-0.4622577065137975,-0.5439805404459674,4.542305858552477,-0.7218566124379233,-0.5872598624269125,-0.10339864948750066,0.0,0.08964167957441282
NZD,-0.5518993860882103,-0.6336222200203803,4.452664178978065,-0.8114982920123361,-0.6769015420013254,-0.19304032906191348,-0.08964167957441282,0.0
