,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08099917319144766,5.000733095418049,-0.2583871353947565,-0.12691901693219493,0.36336799541460696,0.4638625244889724,0.5553872408554598
EUR,0.08099917319144766,0.0,5.081732268609496,-0.17738796220330882,-0.04591984374074727,0.44436716860605463,0.54486169768042,0.6363864140469074
JPY,-5.000733095418049,-5.081732268609496,0.0,-5.2591202308128056,-5.127652112350244,-4.637365100003442,-4.536870570929077,-4.445345854562589
GBP,0.2583871353947565,0.17738796220330882,5.2591202308128056,0.0,0.13146811846256157,0.6217551308093634,0.7222496598837289,0.8137743762502163
CHF,0.12691901693219493,0.04591984374074727,5.127652112350244,-0.13146811846256157,0.0,0.4902870123468019,0.5907815414211673,0.6823062577876546
CAD,-0.36336799541460696,-0.44436716860605463,4.637365100003442,-0.6217551308093634,-0.4902870123468019,0.0,0.10049452907436546,0.1920192454408528
AUD,-0.4638625244889724,-0.54486169768042,4.536870570929077,-0.7222496598837289,-0.5907815414211673,-0.10049452907436546,0.0,0.09152471636648735
NZD,-0.5553872408554598,-0.6363864140469074,4.445345854562589,-0.8137743762502163,-0.6823062577876546,-0.1920192454408528,-0.09152471636648735,0.0
