,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08177351665144711,5.0024418190677284,-0.25953333809707807,-0.1256312525001858,0.35891144111342005,0.461543517128036,0.551743108956446
EUR,0.08177351665144711,0.0,5.0842153357191755,-0.17775982144563096,-0.0438577358487387,0.44068495776486716,0.543317033779483,0.633516625607893
JPY,-5.0024418190677284,-5.0842153357191755,0.0,-5.261975157164806,-5.128073071567914,-4.643530377954308,-4.540898301939692,-4.450698710111283
GBP,0.25953333809707807,0.17775982144563096,5.261975157164806,0.0,0.13390208559689226,0.6184447792104981,0.7210768552251141,0.8112764470535241
CHF,0.1256312525001858,0.0438577358487387,5.128073071567914,-0.13390208559689226,0.0,0.48454269361360586,0.5871747696282218,0.6773743614566318
CAD,-0.35891144111342005,-0.44068495776486716,4.643530377954308,-0.6184447792104981,-0.48454269361360586,0.0,0.10263207601461594,0.1928316678430259
AUD,-0.461543517128036,-0.543317033779483,4.540898301939692,-0.7210768552251141,-0.5871747696282218,-0.10263207601461594,0.0,0.09019959182840998
NZD,-0.551743108956446,-0.633516625607893,4.450698710111283,-0.8112764470535241,-0.6773743614566318,-0.1928316678430259,-0.09019959182840998,0.0
