,USD,EUR,JPY,GBP,CHF,CAD,AUD,NZD
USD,0.0,-0.08045493039038407,5.000342504610823,-0.25862265799539697,-0.12475289378437221,0.36379553227010325,0.4642919718604358,0.5559886240549017
EUR,0.08045493039038407,0.0,5.080797435001207,-0.1781677276050129,-0.04429796339398814,0.4442504626604873,0.5447469022508199,0.6364435544452858
JPY,-5.000342504610823,-5.080797435001207,0.0,-5.25896516260622,-5.125095398395195,-4.63654697234072,-4.536050532750387,-4.444353880555921
GBP,0.25862265799539697,0.1781677276050129,5.25896516260622,0.0,0.13386976421102476,0.6224181902655002,0.7229146298558328,0.8146112820502986
CHF,0.12475289378437221,0.04429796339398814,5.125095398395195,-0.13386976421102476,0.0,0.48854842605447546,0.589044865644808,0.680741517839274
CAD,-0.36379553227010325,-0.4442504626604873,4.63654697234072,-0.6224181902655002,-0.48854842605447546,0.0,0.10049643959033255,0.19219309178479843
AUD,-0.4642919718604358,-0.5447469022508199,4.536050532750387,-0.7229146298558328,-0.589044865644808,-0.10049643959033255,0.0,0.09169665219446588
NZD,-0.5559886240549017,-0.6364435544452858,4.444353880555921,-0.8146112820502986,-0.680741517839274,-0.19219309178479843,-0.09169665219446588,0.0
